filename,version,sha512
liblogger_x64.dll,1.0.1,d03cd1ebd648eb646b26124f57caee103fa454ac417595238aec5de9ce2fd8bfdac5541a54f280d1f8c9555997a272d21aa78b2f3f39659edfdb0125e6056f82
Toolscreen.dll,1.3.6,5e27218de5862343b7f6cef9b40c280e61055515ebf6fa7dec32fc9c7323cf231814d42830edd9fa41c26e01b25d2285ba95f316148826562dee86c885bc4156
liblogger_x64.dll,1.0.2,946849cde44b52247534661eb798163c42b2a9e8e9e8311bb533457d2817ee47229ad793d0264902c0e9220fc543597836d37c043454bbd34d7e0e4ea5bd4834
liblogger_x86.dll,1.0.2,8216038e6a8970d27a23eea3b28c61282ce4c50935d1a5cc45a21c90583dd8f4e9c9686d8a48d88158765f85324db9281d867335cd3102afba96ed42c6ffa7de
liblogger_arm64.dll,1.0.2,36f171b4f3423309208019b26e3f0819fc69d182171ce2c0607a8fbf6e8dd0fc18b0f9c0fb83f8925070724fac0d3707ab5d3477c2bfd4cfb823549a0a06bd78
liblogger_x64.so,1.0.2,2ccc98fc80e81db82d02ca70b3c97e2e79a3b980c780bdc60cfdc9453b8049dbfce6d13e6ca9170562d7b3a53803f0d48d3554c03a5c1a8b36d70f695a3a1ed7
liblogger_x86.so,1.0.2,afb0b4349d47d440ac61e108f007ea7b4483640d41a460310165ac23c2bb54b9018cb2375d9eafd5b4c7f14d194252a8e0fb435580640feed153086142bcb3cb
liblogger_arm64.so,1.0.2,89963fde7d128279226d447ba0d563d66a28d283a555a07961b59df7043f70da080045371674edff994d61f4ec55fc94dee2254c1440e1491612c5fbccc3c8a3
liblogger_arm32.so,1.0.2,311b82c738c356b98279d104025929cf361ace7c8f431814527e30c27c0fe90063f851bb0bca50e7600e0fc161bd8da44776c19032525d808945908008a87a01
liblogger.dylib,1.0.2,99d9814204584c80ee2a77a7fbdf852bc6349a8cb0fbf48397780f95d3d07e51743250cc8aaf53c078d0e3602f2c9df7431eec9ccb1c337cb9afc55a30cdbe65
Toolscreen.dll,1.4.2,04610926d3b52b0e80e58a31e52ba29d79648809f7bf1f9d252c6f1ad7edc5b4fc9a131c91d3c6102713d6cab87058bdad77d3983517e833066f2ba0882b0422
Toolscreen.dll,1.4.3,97963db93e9b05535cada06e2a1c0c22ab1dee6a6be302c8b9620242fba7b363c14fd5ffcd4449c6e3a1bf1d243e441002f6db333a8a300629de17f8c6c97bc8
